,0
0,f0
1,f1
2,f2
3,f3
4,f4
5,f5
6,f6
7,f7
8,f8
9,f9
10,f10
11,f11
12,f12
13,f13
14,f15
15,f16
16,f18
17,f19
18,f20
19,f22
20,f23
21,f24
22,f25
23,f26
24,f27
25,f28
26,f29
27,f30
28,f31
29,f32
30,f33
31,f34
32,f35
33,f36
34,f37
35,f38
36,f39
37,f40
38,f41
39,f42
40,f43
41,f44
42,f45
43,f46
44,f47
45,f48
46,f49
47,f50
48,f51
49,f52
50,f53
51,f54
52,f55
53,f56
54,f57
55,f58
56,f59
57,f60
58,f61
59,f62
60,f63
61,f64
62,f65
63,f66
64,f67
65,f68
66,f69
67,f70
68,f71
69,f72
70,f73
71,f74
72,f75
73,f76
74,f77
75,f78
76,f79
77,f80
78,f81
79,f82
80,f83
81,f86
82,f87
83,f88
84,f89
85,f90
86,f91
87,f92
88,f93
89,f94
90,f95
91,f96
92,f97
93,f98
94,f99
95,f100
96,f101
97,f102
98,f103
99,f104
100,f105
101,f106
102,f107
103,f108
104,f109
105,f110
106,f111
107,f112
108,f113
109,f114
110,f115
111,f116
112,f117
113,f118
114,f119
115,f120
116,f121
117,f122
118,f124
119,f125
120,f126
121,f127
122,f128
123,f129
124,f130
125,f131
126,f132
127,f133
128,f134
129,f135
130,f136
131,f137
132,f138
133,f139
134,f140
135,f141
136,f142
137,f143
138,f144
139,f145
140,f146
141,f147
142,f148
143,f149
144,f150
145,f151
146,f152
147,f153
148,f154
149,f155
150,f156
151,f157
152,f158
153,f159
154,f160
155,f161
156,f162
157,f163
158,f164
159,f165
160,f166
161,f167
162,f168
163,f169
164,f170
165,f171
166,f172
167,f173
168,f174
169,f175
170,f176
171,f177
172,f178
173,f179
174,f180
175,f181
176,f182
177,f183
178,f184
179,f185
180,f186
181,f187
182,f188
183,f189
184,f190
185,f191
186,f192
187,f193
188,f194
189,f195
190,f196
191,f197
192,f198
193,f199
194,f200
195,f201
196,f202
197,f203
198,f204
199,f205
200,f206
201,f207
202,f208
203,f209
204,f210
205,f211
